no	phrase	url
107	CAN YOU HANDLE THIS?	https://www.youtube.com/shorts/aRg8D1kFjDs
108	I WOULDN'T SAY THAT	https://www.youtube.com/shorts/EdanBsQlap8
109	WE'LL FIGURE IT OUT	https://www.youtube.com/shorts/SWcvupCH8Ic
110	WHAT HAVE YOU BEEN UP TO?	https://www.youtube.com/shorts/W4mcaLc_P9c
111	HOW DID WE GET HERE?	https://www.youtube.com/shorts/d9n6x5B3DuM
112	DON'T HOLD YOUR BREATH	https://www.youtube.com/shorts/KhNPIE-hxTQ
113	COULD YOU SPEAK UP?	https://www.youtube.com/shorts/kgaVjk0vMBE
114	WHAT DO YOU RECKON?	https://www.youtube.com/shorts/ODqlltVUZ3k
115	TRUST YOUR GUT	https://www.youtube.com/shorts/wOLJBMVLHqU
116	WHAT'S THAT ABOUT?	https://www.youtube.com/shorts/5aedDSymAH0
117	SUIT YOURSELF	https://www.youtube.com/shorts/kh8hO_hQJAI
118	LET'S JUST LEAVE IT AT THAT	https://www.youtube.com/shorts/caJ-UazCEYw
119	HOW BAD CAN IT BE?	https://www.youtube.com/shorts/y7AH6SYyPrw
120	THERE'S NO SHAME IN IT	https://www.youtube.com/shorts/BwfU0q-8g5c
121	HOW IS IT COMING ALONG?	https://www.youtube.com/shorts/oWr3Idbu0ko
122	DON'T LET IT GO TO YOUR HEAD	https://www.youtube.com/shorts/KFn4qzIcmsk
123	YOU'LL GET THROUGH THIS	https://www.youtube.com/shorts/-jsrJURf9P0
124	WHERE DO WE STAND?	https://www.youtube.com/shorts/q3T83ZDcS-M
125	I WOULDN'T BET ON IT	https://www.youtube.com/shorts/qGwDSvise24
126	NEVER HURTS TO ASK	https://www.youtube.com/shorts/QgARCnse8Xw
127	WHAT'S YOUR DEAL?	https://www.youtube.com/shorts/FCxHOoPtLCQ
128	IT LOOKS LIKE IT	https://www.youtube.com/shorts/_vPcW21QbW0
129	THAT'S A STRETCH	https://www.youtube.com/shorts/sHp5WO5PgsI
130	I'LL TAKE IT	https://www.youtube.com/shorts/6UD0x8nlFYM
131	LET'S AGREE TO DISAGREE	https://www.youtube.com/shorts/Wzk1iYNvZSo
132	DON'T PUT THIS ON ME	https://www.youtube.com/shorts/wtn1Ci_SdWY
133	THERE'S NO TURNING BACK	https://www.youtube.com/shorts/VbBrpqWXolI
134	YOU COULDN'T POSSIBLY UNDERSTAND	https://www.youtube.com/shorts/KhYV7T0YSq8
135	I'LL TAKE A RAIN CHECK	https://www.youtube.com/shorts/BV7vNf8iu80
136	THERE'S A LOT GOING ON	https://www.youtube.com/shorts/t7h0ttv2M-Q
137	I MEAN... YEAH	https://www.youtube.com/shorts/SnlaZNdfvqo
138	YOU WON'T GET AWAY WITH THIS	https://www.youtube.com/shorts/Ob0fEjAg4MI
139	IT WAS MEANT TO BE	https://www.youtube.com/shorts/OagMKU-3I0A
140	IT'S ABOVE MY PAY GRADE	https://www.youtube.com/shorts/LPAsN35iJEI
141	IS THIS WHAT YOU WANT?	https://www.youtube.com/shorts/Rz3ocsSp4GU
142	ARE YOU GETTING COLD FEET?	https://www.youtube.com/shorts/jty5-4cgDAM
143	HOW MUCH DO I OWE YOU?	https://www.youtube.com/shorts/kGjfYxKQUzU
144	THAT FIGURES	https://www.youtube.com/shorts/oi1gnczaYA8
